crude	Opec deliberately under 15.8 mln barrel ceiling to defend price - Subroto
dlr, money-fx	Nakasone says major nations committed in Paris to stable dlr above 150 yen
ship	REAGAN SENDS KUWAITI PLAN TO CONGRESS President Reagan today sent a classified report to Congress on his plan to protect Kuwaiti oil tankers with U.S. military escorts. Congressional officials said the report, received by House Speaker Jim Wright and Senate majority leader Robert Byrd, will not be made public. Congress has demanded a detailed security plan on how U.S. warships and servicemen would be protected from possible attack in the Gulf region, scene of the prolonged war between Iran and Iraq. White House spokesman Marlin Fitzwater said the Administration intended to push ahead with the plan despite strong opposition in Congress. He said the report to Congress provided a comprehensive overview of Administration strategy in the Gulf, adding the military escort plan would begin "when the President was satisfied that all preparations had been completed satisfactorily". Fitzwater did not say when this might be, but denied the protection plan was being held up. Reuter
crude, ship	U.S., AT U.N., CLAIMS SELF-DEFENSE FOR GULF ATTACK The United States invoked the right of self-defense in destroying an Iranian oil platform in the Gulf, the American delegation told the United Nations. Lieutenant General Vernon Walters sent letters about the incident to Security Council President Maurizio Bucci, the delegate of Italy, and Secretary General Javier Perez de Cuellar. U.N. press secretary Francois Giuliani said the Secretary General had no comment on the attack, which followed his appeal last Friday for restraint in the crisis while he pursued efforts to obtain a ceasefire between Iran and Iraq. In his explanation, Walters said the United States took defensive action in response to an Iranian attack against American ships in the Gulf. He cited an Iranian Silkworm missile strike last Friday in Kuwait waters against the United States-flag ship Sea Isle City. Walters said that military forces on the destroyed Iranian platform had engaged in a variety of actions against United States-flag and other nonbelligerent vessels and planes. "In accordance with Article 51 of the United Nations (Charter), I wish, on behalf of my government, to report that United States forces have exercised the inherent right of self-defense under internation law by taking defensive action in response to attacks by . . . Iran against United States vessels in the Gulf," Walters said. Members of the Security Council met behind closed doors on Monday to discuss developments in the Gulf war, but no statement was issued afterwards. Reuter
money-fx	INDUSTRIAL NATIONS RECONVENE FOR TALKS Financial ministers and central bankers of leading industrial nations reconvened here this afternoon. Canadian Finance Minister Michael Wilson said on entering the meeting the ministers would review the Paris agreement. Asked if he was satisfied with West German and Japanese stimulus, Wilson replied, "They could do a little more." French Finance Minister Edouard Balladur, meanwhile, confirmed there would be a communique at the end of the meeting. Finance ministers and central bankers of Britain, FRance, Canada and West Germany were seen by Reuter correspondents returning to a Treasury building. Japanese officials and Bundesbank President Karl Otto Poehl did not appear to have left the building at the end of earlier Group of Five talks which broke up around 2 p.m. local time (1800 gmt). There was no sign, however, of the Italian delegation whose position was thrown into question this morning by the resignation of the Christian Democratic wing of Italy's Socialist-led government. European monetary officials said later that the Italian delegation was inside the building. This meant that a full blown meeting of the Group of Seven was in progress. Reuter
crude	DOE SECRETARY PROPOSES OIL TAX INCENTIVES Energy Secretary John Herrington said he will propose tax incentives to increase domestic oil and natural gas exploration and production to the Reagan Administration for consideration. "These options boost production, while avoiding the huge costs associated with proposals like an oil import fee," Herrington told a House Energy subcommittee hearing. "It is my intention to submit these proposals to the domestic policy council and the cabinet for consideration and review." "The goal of the Administration policies is to increase domestic production. I would like to shoot for one mln barrels a day," he said. The proposals were based on a DOE study released yesterday warning the United States was threatened by a growing dependence on oil imports. "We project free world dependence on Persian Gulf oil at 65 pct by 1995," Herrington said. Reuter
crude	ARTILLERY SHELLS SAID TO FALL ON KUWAIT BORDER Artillery shells from an exchange of fire between Iran and Iraq fell on Kuwait's northern border on Tuesday but caused no casualties, the Kuwait News Agency KUNA said, quoting a Defense Ministry official. There were rumors in world oil markets on Tuesday that Iran had fired shells at an oil camp in northern Kuwait in retaliation for U.S. Attacks on Iranian oil platforms in the Gulf on Monday. "Several shells fell in a random manner on the northern border of the country," the official told KUNA. "It seems these shells arose from an exchange of fire between Iran and Iraq... No one was wounded and there were no losses." Diplomats said shells from the nearby Iran-Iraq warfront had in the past fallen in the northern Kuwaiti desert. A senior Kuwait Petroleum Corporation official had earlier told Reuters he was unaware of any attack against Kuwaiti oil installations. Reuter
money-fx	German Finance Ministry confident of maintaining currency stability at around current levels - spokesman
ship	AGENCY REPORTS 41 SHIPS WAITING AT PANAMA CANAL The Panama Canal Commission, a U.S. government agency, said in its daily operations report that there was a backlog of 41 ships waiting to enter the canal early today. Over the next two days it expects -- 4/01 4/02 Due: 34 34 Scheduled to Transit: 41 39 End-Day Backlog: 34 29 Average waiting time tomorrow -- Super Tankers Regular Vessels North End: 25 hrs 11 hrs South End: 24 hrs 31 hrs Reuter
corn, grain	TRADERS EXPECT SHARP DROP IN U.S. CORN ACREAGE Grain trade analysts expect a sharp drop in corn acreage, with most expecting a more modest decline in soybeans, in the U.S. Agriculture Department, USDA, plantings intentions report due out at 1500 est (2100 gmt). The average trade guess for 1987 planted corn acreage was 66.06 mln acres, ranging from 60.7 to 69.0 mln, all well below the 76.67 mln planted last year due to improved incentives by the USDA for farmers to retire acres. Corn acres totalled only 60.22 mln in 1983, when the PIK program was introduced. The average soybean planted acreage quesstimate was 59.49 mln, ranging from 58.0 to 63.0 mln and compared with the 61.48 mln planted in 1986 With substantial grain stocks, less interest was expressed among analysts in the USDA stocks report also scheduled today. Reuter
interest, money-fx	U.K. MONEY MARKET RECEIVES 170 MLN STG HELP The Bank of England said it has operated in the money market this morning, purchasing 170 mln stg bank bills. This compares with the Bank's revised estimate of a 750 mln stg shortfall. In band two the Bank bought 72 mln stg at 9-13/16 pct, in band three 52 mln at 9-3/4 pct and in band four 46 mln at 9-11/16 pct. REUTER
crude, ship	TURKISH SHIP IN OIL ROW HEADS FOR AEGEAN A Turkish research ship, escorted by warships and air force planes, left for the Aegean to press Ankara's case in an escalating row with Greece over oil rights, the semi-official Anatolian News Agency said. The ship set off this morning from the Dardanelles port of Canakkale with flags flying and watched by sightseers, the agency said. Prime Minister Turgut Ozal said last night the ship would not go into international waters unless Greece did the same. "We are waiting for the first move from them," he told Turkish Radio in London. REUTER
dlr, money-fx	Bundesbank bought dollars against yen in Frankfurt - dealers
money-fx	SOUTH KOREAN WON FIXED AT 25-MONTH HIGH THE BANK OF KOREA SAID IT FIXED THE MIDRATE OF THE WON AT 844.30 TO THE DOLLAR, ITS HIGHEST LEVEL SINCE FEBRUARY 26, 1985, WHEN IT WAS 843.90. THE WON WAS SET at 845.50 YESTERDAY. THE WON HAS RISEN 2.03 PCT AGAINST THE DOLLAR SO FAR THIS YEAR, AFTER RISING 3.34 PCT IN 1986. REUTER
crude	STUDY GROUP URGES INCREASED U.S. OIL RESERVES A study group said the United States should increase its strategic petroleum reserve to one mln barrels as one way to deal with the present and future impact of low oil prices on the domestic oil industry. U.S. policy now is to raise the strategic reserve to 750 mln barrels, from its present 500 mln, to help protect the economy from an overseas embargo or a sharp price rise. The Aspen Institute for Humanistic Studies, a private group, also called for new research for oil exploration and development techniques. It predicted prices would remain at about 15-18 dlrs a barrel for several years and then rise to the mid 20s, with imports at about 30 pct of U.S. consumption. It said instead that such moves as increasing oil reserves and more exploration and development research would help to guard against or mitigate the risks of increased imports. Reuter
grain, wheat	USDA CHANGES LOW PROTEIN WHEAT TERMINAL PRICES The U.S. Agriculture Department has lowered its ASCS terminal prices for low protein hard red winter and hard red spring wheat at a number of locations, a senior USDA official said. USDA reduced the price of hard red winter wheat at Kansas City and Texas by six cents, at Minneapolis and Duluth by 32 cents and at St Louis by nine cents, Ralph Klopfenstein, deputy administrator of commodity operations at the Agricultural Stabilization and Conservation Service, said. The department also lowered the terminal price of hard red spring wheat at Minneapolis and Duluth by 32 cents, he said. In addition, USDA cut the Pacific Northwest price of hard red spring wheat by 31 cents, USDA officials who asked not to be identified said. The officials said hard red spring wheat prices at Chicago, Denver and Toledo were adjusted by about the same amount as at Pacific Northwest, Duluth and Minneapolis. The price changes should lead to a pickup of PIK and roll activity, Klopfenstein said. The price change was decided upon last week and will be effective today, he said. Klopfenstein also said the department raised the premiums on high protein wheat to offset the drop in low protein wheat prices, meaning the net price on any wheat commanding a protein premium would remain unchanged. Reuter
interest, money-fx	FED SETS TWO-DAY SYSTEM REPURCHASES The Federal Reserve entered the government securities market to arrange two-day repurchase agreements for system account, a spokesman for the New York Fed said. Federal funds were trading at 6-3/4 pct at the time of the direct injection of temporary reserves, in line with Friday's 6.72 pct average. Reuter
crude	OIL TAX BREAK RIDICULED BY U.S. HOUSE TAXWRITER A House taxwriter said Energy Secretary James Herrington's "outrageous" plan to restore an old tax break for oil companies was both bad tax and energy policy. Rep. Pete Stark, a California Democrat and senior House Ways and Means Committee member, said Herrington's plan for a 27.5 pct depletion allowance--which in effect is a special 27.5 pct tax deduction --would cost seven billion dlrs a year. "He must have missed the last two years of federal tax reform by sleeping as soundly as Rip Van Winkle," Stark said. He said in a statement the oil industry already pays an effective lower rate of U.S. tax on investment, 15 pct versus aggregate corporate tax on all investment of 34 pct, according to a recent Congressional Research Service study. Reuter
crude	CONFIDENCE IN OPEC FIRMS U.S. ENERGY FUTURES Renewed confidence in OPEC's ability to limit production helped U.S. energy futures settle above yesterday's closing prices, according to analysts. They also said the heating oil contract found additional support from a short-covering rally on the close. April crude closed 24 cts higher to 17.75 dlrs. April heating oil was 1.47 cts higher to 47.91 cts a gallon. "Most traders expected follow through profit-taking from yesterday but the market found suport from bullish reports that OPEC is producing within its quota," said Simon Greenshields, a vice president with Morgan Stanley and Co Inc. News today, including OPEC President Rilwanu Lukman statement that OPEC February production did not exceed its official quota of 15.8 mln barrels per day, helped bouy prices, traders said. A Reuter survey found OPEC production in early March was 14.7 mln bpd. In addition to short-covering, heating oil found support from traders buying it against sales of gasoline and crude, as well as from expectations for continued drawdowns in stocks as refiners shut down for maintenance, traders said. Unleaded gasoline for April finished 0.55 cent higher to 51.24 cts a gallon. Reuter
dlr, money-fx	JAPAN SETS ASIDE YEN FUNDS TO PREVENT DLR FALL The 50-day provisional 1987/88 budget, adopted today by the government, allows the Finance Ministry to issue up to 14,600 billion yen worth of foreign exchange fund financing bills, government sources said. Foreign exchange dealers said the yen funds would be used to buy dollars, to prevent a further dollar fall. The government sources said the amount, covering the first 50 days of the year starting April 1, accounts for more than 90 pct of the 16,000 billion yen in bills incorporated in the full budget. REUTER
interest, money-fx	BANK OF FRANCE SAYS NO MONEY MARKET TENDER TODAY The Bank of France will not hold a money market intervention tender today, ruling out a further cut in its 7-3/4 pct intervention rate, central bank sources said. At the tenders, depending on market conditions, the Bank injects liquidity into the market by buying up first category paper. But market sources said that while the recent franc performance leaves room for a further quarter point cut in the intervention rate there was plenty of market liquidity. The Bank cut its rate to 7-3/4 pct from eight pct on March 9, the first change since January 2. Interest rates also fell the same week in Britain, Belgium and Italy. REUTER
crude	PETROBRAS CANCELS OIL PURCHASE FROM SAUDI ARABIA Brazil's state oil company Petrobras has cancelled a 40 mln dlr crude oil purchase from Saudi Arabia after the Saudis refused to accept credit guarantees from the Bank of Brazil and did not disclose reasons, a Petrobras official said. Export director Carlos Santana told reporters the Saudis were the first suppliers of oil to impose such conditions after Brazil's decision to halt interest payment of its commercial debts last month. The shipment of 2.2 mln barrels represents two days of consumption. He said the Saudis reported they would no longer accept letters of credit from the Bank of Brazil or even from Saudi banks and that Brazil would have to obtain credit guarantees from leading international banks. In February, Brazil had contracted to buy 125,000 bpd from the Saudis until June. Saudi Arabia is Brazil's second biggest oil supplier, with an average 115,000 bpd. Iraq is the main supplier with 235,000 bpd. China comes third, with 58,000 bpd. "If the Saudis wish to stop our trade relationship...I am sure that if they do, we will be getting dozens of offers from elsewhere," Santana added. Santana said if the Saudis change their minds and decide to respect the terms of the contract, then Petrobras will lift the order to cancel the shipment. The Saudis had put similar conditions on a previous shipment, he added. "We telexed them saying that if they insisted, we would rather cancel the contract and buy the product elsewhere," Santana said. After Petrobras threatened to cancel the contract, the Saudis changed their minds and decided to accept the Bank of Brazil's credit guarantees, he said. REUTER
money-fx	TREASURY BALANCES AT FED FELL ON MARCH 27 Treasury balances at the Federal Reserve fell on March 27 to 2.424 billion dlrs from 2.508 billion dlrs on the previous business day, the Treasury said in its latest budget statement. Balances in tax and loan note accounts fell to 9.706 billion dlrs from 10.786 billion dlrs on the same respective days. The Treasury's operating cash balance totaled 12.131 billion dlrs on March 27 compared with 13.283 billion dlrs on March 26. Reuter
crude	ABU DHABI MARKETING SAID NOT BREACHING OPEC PACT A senior Abu Dhabi oil official said in remarks published today the emirate, largest producer in the United Arab Emirates (UAE), was succeeding in marketing its crude oil without breaching OPEC accords. Khalaf al-Oteiba, Marketing Director at the Abu Dhabi National Oil Co (ADNOC), told the company's Petroleum Community magazine ADNOC was also keen to keep good customer relations. "The company will maintain its dialogue with and care for its customers in accordance with market conditions...And take necessary steps to guarantee marketing its production," he said. "The present oil marketing policy of ADNOC is based on adherence to OPEC decisions of December 1986 to control production and establish a new pricing system in an attempt to stabilize the market," he added. OPEC agreed last December to limit production to 15.8 mln bpd and return to fixed prices averaging 18 dlrs a barrel. Oteiba said stabilization of the oil market in the future depended on how much discipline OPEC showed. Oteiba said last year, when world oil prices dropped, was ADNOC's most difficult ever but "a practical and flexible pricing policy was implemented to relate to the changed market environment." He said crude oil sales last year jumped to an average 609,000 bpd of which 73 pct was exported. Refined product sales totalled eight mln metric tonnes, of which 67 pct was exported. In 1985, ADNOC marketed a total of 476,000 bpd of crude oil and 7.2 mln tonnes of refined products. Reuter
grain, wheat	U.S. SENATE GROUP URGES SUBSIDIES FOR USSR A majority of the Senate Agriculture Committee urged President Reagan to reverse his opposition to export subsidies to the Soviet Union as a way to get its negotiators to purchase some 500 mln dlrs in American wheat. The group, led by committee chairman Patrick Leahy, a Vermont Democrat, urged Reagan to step up negotiations with the Soviet Union by providing export subsidies to help U.S. farmers. Reuter
dlr, money-fx	GREENSPAN SAYS THERE IS EVIDENCE DOLLAR HAS BOTTOMED OUT
crude	NATIONAL INTERGROUP <NII> UNIT RAISES CRUDE PRICES Permian Corp, a subsidiary of National Intergroup, said it raised its crude oil postings by 50 cts a barrel, effective June 17. the company said its new posted price for West Texas Intermediate and West Texas Sour is 19 dlrs a barrel, while Light Louisiana Sweet is now 19.35. The price hike follows other increases industrywide. Reuter
ship	HUTCHISON UNIT BUYS CONTAINER CRANES FROM JAPAN Container port operator, <Hong Kong International Terminals Ltd>, a 89 pct held unit of Hutchison Whampoa Ltd <HWHH.HK>, said it has placed a 164 mln H.K. Dlr order for seven quayside container cranes of 800 tons each with Japan's Mitsui Engineering and Shipbuilding Co Ltd <MSET.T> for May 1988 to August 1989 delivery. Hong Kong International Terminals operates 32 cranes. REUTER
dlr, money-fx	Bank of Japan buys dollars around 149.00 yen - Tokyo dealers
dlr, money-fx	BANK OF JAPAN INTERVENES IN TOKYO MARKET The Bank of Japan intervened just after the Tokyo market opened to support the dollar from falling below 140.00 yen, dealers said. The central bank bought a moderate amount of dollars to prevent its decline amid bearish sentiment for the U.S. Currency, they said. The dollar opened at a record Tokyo low of 140.00 yen against 140.70/80 in New York and 141.15 at the close here yesterday. The previous Tokyo low was 140.55 yen set on April 15. REUTER
crude	WEATHER CLOSES ALEXANDRIA PORT, SUMED OIL TERMINAL Strong winds and high seas forced the closure of Egypt's main port of Alexandria and a nearby oil terminal, port officials said. Tanker loading at the Suez-Mediterranean Arab Petroleum Pipelines Co in Sedi Kerir, southwest of here, stopped and officials said five tankers were at anchorage awaiting improved weather. Reuter
corn, grain	TAIWAN TO TENDER FOR 450,000 TONNES U.S. CORN Taiwan is scheduled to tender tonight for 450,000 to 475,000 tonnes U.S. corn, export sources said. The tender calls for 11 cargoes for delivery from April through October with early shipments FOB or Pacific Northwest, they said. Reuter
crude	SAUDIS DROP CONDITION FOR OIL SALE TO BRAZIL Saudi Arabia has dropped its condition that Brazil secure international bank guarantees before Saudia Arabia would ship it oil, state-oil company Petrobras said in a statement. Petrobras said the Saudis will accept Banco do Brasil credit guarantees. Petrobras cancelled a 40 mln dlr crude oil purchase from the Saudis yesterday after they refused to accept a letter of credit from the official Bank of Brazil. The Saudis had demanded that Brazil get credit guarantees from leading international banks. Petrobras said the Saudis had been advised that if they did not change their mind by Monday, Petrobras would negotiate the purchase of oil with other producers. The Petrobras statement said the shipment of 2.2 mln barrels will be made by the Saudis on March 24 as scheduled. The shipment was part of a contract signed in February for the Saudis to supply Brazil with 125,000 barrels per day until June. REUTER
ship	DOCKERS' STRIKE HITS CANARY ISLAND PORT Striking dockers brought the Canary Island port of Las Palmas to a halt today but called off a stoppage in Spain's main port of Barcelona after winning the reinstatement of a sacked worker, port officials said. They said about 15 freighters were affected in Las Palmas as talks on dockers' demands to reinstate five workers went on. A stoppage was also called off in Santa Cruz, on Tenerife. Union sources said the strike would continue in Las Palmas tomorrow and would spread unless the demands were met, with a strike threatened in all ports for two hours on Thursday, four on Friday, six on Saturday and every other hour from May 4-11. REUTER
grain, wheat	EC SOURCES SAY UK WHEAT PLAN YET TO BE APPROVED The European Commission has not taken a decision on applications from the British government for the release of 200,000 tonnes of intervention feed wheat onto the British market in May and June, Commission sources said. They said last week's cereals management committee agreed to release 70,000 tonnes of feed wheat through weekly tenders between April 14 and May 26. It also indicated it planned to allow the release of another 30,000 tonnes from April 23. However, it decided to leave consideration of the release of further wheat until later. The British government had applied for the release of a further 100,000 tonnes in both May and June from British intervention stores to prevent market prices rising. However, the sources said, the Commission wanted to review the market situation nearer the time before giving its approval. The Commission was given new powers last year to control the release of intervention cereals onto the market, the sources noted. Following last week's committee meeting, the U.K. Ministry of Agriculture said the Commission had given an assurance that additional quantities of intervention wheat would be made available in May and June. It also said that it was envisaged that monthly releases would be at least 100,000 tonnes, depending on the state of the market. This lead to the widespread assumption that the Commission had actually approved the release of 300,000 tonnes during the three months of April, May and June at last week's meeting. Reuter
grain, wheat	EGYPT CANCELS WHEAT TENDER Egypt has cancelled its April 2 tender for 200,000 tonnes of any origin wheat for April 15-30 shipment, trade and Egyptian official sources said. Trade sources said the cancellation followed an offer by an Egyptian company, Islamic Corp, at 85.80 dlrs/tonne cost and freight, undercutting other traders' offers of between 93.90 and 94.49 dlrs/tonne. An Egyptian trade official in Paris confirmed cancellation of the tender following the Islamic Corp offer, which he said the government had refused for legal reasons. The official denied trade reports that the government might have substituted a private deal with Islamic Corp for the original tender. Reuter
crude	MALAYSIA ADVISED TO RAISE CRUDE OIL OUTPUT IN 1988 Malaysia's national oil company, Petronas, has advised the government to raise crude oil output to 540,000 barrels a day (bpd) in 1988 from a current 500,000 bpd, a senior company official said. "We have the capacity to produce the amount," Rastam Hadi, Petronas's Vice-President for Upstream Sector said. The government will announce its decision on Friday when it unveils the country's budget. Malaysia raised output this month to current levels from 420,000 bpd after reviewing the world oil market. In May, Malaysia cut output to 420,000 bpd from 459,000 in response to a call by OPEC to boost prices. REUTER
money-fx	U.S. TREASURY'S BAKER SEES RATE STABILITY Treasury Secretary James Baker said the agreement among the industrial countries reached in Paris last month should foster stability of exchange rates at around current levels. In testimony before the House Appropriations Committee, Baker outlined many of the measures taken designed to achieve more balanced growth and a reduction of trade imbalances during the Paris meeting. "These measures should also foster greater stability of exchange rates around current levels," he said. Baker reiterated that the ministers at the Paris meeting agreed that their currencies were within ranges "broadly consistent with underlying economic fundamentals and that further substantial exchange rate shifts could damage growth and adjustment prospects." He added: "In these circumstances, we agreed to cooperate closely to foster stability of exchange rates around current levels." Reuter
interest, money-fx	U.K. MONEY MARKET GIVEN 478 MLN STG EARLY HELP The Bank of England said it provided the market with 478 mln stg of early assistance to help ease a liquidity shortage it estimated at 1.10 billion stg. It made outright purchases of seven mln stg of band one bank bills at 10-3/8 pct and 30 mln stg of band two bank bills at 10-5/16 pct. In addition, it bought 294 mln stg of paper for resale to the market on March 30 and 147 mln stg for resale on April 8, in both cases at an interest rate of 10-7/16 pct. REUTER
crude	SAUDIS NOT SEEKING OIL PRICE ABOVE 18 DLRS - MEES Saudi Arabia will not seek to push OPEC oil prices above the current benchmark of 18 dlrs per barrel unless oil demand grows strongly, the Middle East Economic Survey (MEES) said. The Cyprus-based weekly newsletter quoted authoritative Saudi sources as saying the Kingdom's oil price policy would not change "unless and until there is a strong revival in the growth of demand for oil." MEES said this contradicted recent hints of new Saudi price hawkishness from U.S. Congressional and oil industry sources. The Saudi sources said their policy was firmly based on the long-term need to restore the competitive position of oil in general and OPEC oil in particular against other energy sources. "Saudi Arabia is certainly committed to cooperating with its OPEC partners to exercise the necessary production restraint to maintain the 18 dlr per barrel reference price level," MEES said. The newsletter said Saudi output in the first three weeks of April averaged slightly above its OPEC quota of 4.133 mln barrels per day (bpd). Output would fall in the last week, causing the month's average to be below quota, MEES said. MEES estimated overall OPEC production for April at around 16.8-16.9 mln bpd -- two mln bpd more than both its figures for March and Reuter estimates for March. It said Iranian production had risen by 500,000 bpd this month to 2.2-2.3 mln bpd, around its quota level. In Iraq, with an OPEC-assigned quota of 1.466 mln bpd, output rose this month to two mln bpd, not including "war relief" supplies from Kuwait and Saudi Arabia, the newsletter said. Nigeria, which has had problems selling its full 1.238 mln bpd entitlement, increased its output to 1.2 mln bpd, it added. REUTER
